,rep_date,marketplaceid,cat_id,category_name,parent_ids,parent_names,CategoryId,SubCategoryId,CategoryName,SubCategoryName
2552,4/12/2022 5:45,ATVPDKIKX0DER,166205011,Spy Gadgets,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2553,4/12/2022 5:45,ATVPDKIKX0DER,23538328011,Squeeze Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2554,4/12/2022 5:45,ATVPDKIKX0DER,166053011,Squirting Gag Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2555,4/12/2022 5:45,ATVPDKIKX0DER,166052011,Viewfinders,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2556,4/12/2022 5:45,ATVPDKIKX0DER,166054011,Wind-up Toys,165795011 > 166027011,Toys And Games > Novelty & Gag Toys,165795011,166027011,Toys And Games , Novelty & Gag Toys
2557,4/12/2022 5:45,ATVPDKIKX0DER,1266203011,Party Supplies,165795011,Toys And Games,165795011,,Toys And Games,
2558,4/12/2022 5:45,ATVPDKIKX0DER,2528084011,Centerpieces,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2559,4/12/2022 5:45,ATVPDKIKX0DER,274320011,Decorations,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2560,4/12/2022 5:45,ATVPDKIKX0DER,2528081011,Invitations,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2561,4/12/2022 5:45,ATVPDKIKX0DER,166042011,Noisemakers,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2562,4/12/2022 5:45,ATVPDKIKX0DER,166044011,Party Favors,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2563,4/12/2022 5:45,ATVPDKIKX0DER,274325011,Party Hats,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2564,4/12/2022 5:45,ATVPDKIKX0DER,274330011,Party Tableware,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2565,4/12/2022 5:45,ATVPDKIKX0DER,274329011,Piñatas,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2566,4/12/2022 5:45,ATVPDKIKX0DER,2528083011,Tablecovers,165795011 > 1266203011,Toys And Games > Party Supplies,165795011,1266203011,Toys And Games , Party Supplies
2567,4/12/2022 5:45,ATVPDKIKX0DER,166333011,Puppets & Puppet Theaters,165795011,Toys And Games,165795011,,Toys And Games,
2568,4/12/2022 5:45,ATVPDKIKX0DER,166030011,Finger Puppets,165795011 > 166333011,Toys And Games > Puppets & Puppet Theaters,165795011,166333011,Toys And Games , Puppets & Puppet Theaters
2569,4/12/2022 5:45,ATVPDKIKX0DER,166335011,Hand Puppets,165795011 > 166333011,Toys And Games > Puppets & Puppet Theaters,165795011,166333011,Toys And Games , Puppets & Puppet Theaters
2570,4/12/2022 5:45,ATVPDKIKX0DER,166336011,Marionettes,165795011 > 166333011,Toys And Games > Puppets & Puppet Theaters,165795011,166333011,Toys And Games , Puppets & Puppet Theaters
2571,4/12/2022 5:45,ATVPDKIKX0DER,166338011,Puppet Theaters,165795011 > 166333011,Toys And Games > Puppets & Puppet Theaters,165795011,166333011,Toys And Games , Puppets & Puppet Theaters
2572,4/12/2022 5:45,ATVPDKIKX0DER,166339011,Ventriloquist,165795011 > 166333011,Toys And Games > Puppets & Puppet Theaters,165795011,166333011,Toys And Games , Puppets & Puppet Theaters
2573,4/12/2022 5:45,ATVPDKIKX0DER,166340011,Wraparound,165795011 > 166333011,Toys And Games > Puppets & Puppet Theaters,165795011,166333011,Toys And Games , Puppets & Puppet Theaters
2574,4/12/2022 5:45,ATVPDKIKX0DER,166359011,Puzzles,165795011,Toys And Games,165795011,,Toys And Games,
2575,4/12/2022 5:45,ATVPDKIKX0DER,2491829011,3-D Puzzles,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2576,4/12/2022 5:45,ATVPDKIKX0DER,166360011,Brain Teasers,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2577,4/12/2022 5:45,ATVPDKIKX0DER,166361011,Floor Puzzles,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2578,4/12/2022 5:45,ATVPDKIKX0DER,166363011,Jigsaw Puzzles,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2579,4/12/2022 5:45,ATVPDKIKX0DER,166403011,Pegged Puzzles,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2580,4/12/2022 5:45,ATVPDKIKX0DER,166404011,Puzzle Accessories,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2581,4/12/2022 5:45,ATVPDKIKX0DER,2522073011,Puzzle Play Mats,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2582,4/12/2022 5:45,ATVPDKIKX0DER,274336011,Sudoku Puzzles,165795011 > 166359011,Toys And Games > Puzzles,165795011,166359011,Toys And Games , Puzzles
2583,4/12/2022 5:45,ATVPDKIKX0DER,6925830011,Remote & App Controlled Vehicles & Parts,165795011,Toys And Games,165795011,,Toys And Games,
2584,4/12/2022 5:45,ATVPDKIKX0DER,2234137011,Fuel,165795011 > 6925830011,Toys And Games > Remote & App Controlled Vehicles & Parts,165795011,6925830011,Toys And Games , Remote & App Controlled Vehicles & Parts
2585,4/12/2022 5:45,ATVPDKIKX0DER,6925984011,Oil & Lubricants,165795011 > 6925830011,Toys And Games > Remote & App Controlled Vehicles & Parts,165795011,6925830011,Toys And Games , Remote & App Controlled Vehicles & Parts
2586,4/12/2022 5:45,ATVPDKIKX0DER,11608080011,Quadcopters & Multirotors,165795011 > 6925830011,Toys And Games > Remote & App Controlled Vehicles & Parts,165795011,6925830011,Toys And Games , Remote & App Controlled Vehicles & Parts
2587,4/12/2022 5:45,ATVPDKIKX0DER,2234126011,Remote & App Controlled Vehicle Parts,165795011 > 6925830011,Toys And Games > Remote & App Controlled Vehicles & Parts,165795011,6925830011,Toys And Games , Remote & App Controlled Vehicles & Parts
2588,4/12/2022 5:45,ATVPDKIKX0DER,166583011,Remote & App Controlled Vehicles,165795011 > 6925830011,Toys And Games > Remote & App Controlled Vehicles & Parts,165795011,6925830011,Toys And Games , Remote & App Controlled Vehicles & Parts
2589,4/12/2022 5:45,ATVPDKIKX0DER,343404011,Robots,165795011 > 6925830011,Toys And Games > Remote & App Controlled Vehicles & Parts,165795011,6925830011,Toys And Games , Remote & App Controlled Vehicles & Parts
2590,4/12/2022 5:45,ATVPDKIKX0DER,166619011,Train Tracks,165795011 > 6925830011,Toys And Games > Remote & App Controlled Vehicles & Parts,165795011,6925830011,Toys And Games , Remote & App Controlled Vehicles & Parts
2591,4/12/2022 5:45,ATVPDKIKX0DER,166420011,Sports & Outdoor Play,165795011,Toys And Games,165795011,,Toys And Games,
2592,4/12/2022 5:45,ATVPDKIKX0DER,1243730011,Balance Boards,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2593,4/12/2022 5:45,ATVPDKIKX0DER,166421011,Ball Pits & Accessories,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2594,4/12/2022 5:45,ATVPDKIKX0DER,166422011,Bean Bags & Footbags,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2595,4/12/2022 5:45,ATVPDKIKX0DER,2327110011,Blasters & Foam Play,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2596,4/12/2022 5:45,ATVPDKIKX0DER,21571225011,Bubbles,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2597,4/12/2022 5:45,ATVPDKIKX0DER,166423011,Fitness Equipment,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2598,4/12/2022 5:45,ATVPDKIKX0DER,166352011,Gardening Tools,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2599,4/12/2022 5:45,ATVPDKIKX0DER,1258890011,Inflatable Bouncers,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2600,4/12/2022 5:45,ATVPDKIKX0DER,274359011,Kickball & Playground Balls,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2601,4/12/2022 5:45,ATVPDKIKX0DER,166431011,Kites & Wind Spinners,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2602,4/12/2022 5:45,ATVPDKIKX0DER,166247011,Marble Games,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
2603,4/12/2022 5:45,ATVPDKIKX0DER,2522014011,Nature Exploration Toys,165795011 > 166420011,Toys And Games > Sports & Outdoor Play,165795011,166420011,Toys And Games , Sports & Outdoor Play
